time,CSI
5.1370391845703125,[34 32 2 0 0 0 0 0 0 0 0 0 12 15 11 16 11 16 10 17 10 17 9 18 8 18 8 19 8 19 8 18 9 18 8 18 8 18 7 18 6 18 6 18 5 18 5 17 5 17 5 18 5 17 5 17 5 16 6 16 6 16 6 16 0 0 6 15 7 15 7 15 7 14 7 14 7 14 7 14 7 14 8 14 8 14 9 13 9 13 10 13 10 13 9 13 10 13 10 13 11 13 11 14 11 13 11 13 11 13 12 13 13 12 12 12 12 12 0 0 0 0 0 0 0 0 0 0 ]
5.2489776611328125,[-125 48 8 0 0 0 0 0 0 0 0 0 -3 -20 -2 -20 -2 -20 -1 -20 0 -20 1 -21 1 -21 2 -21 2 -20 3 -20 2 -21 3 -20 3 -20 3 -20 4 -19 3 -19 4 -19 4 -18 4 -18 4 -18 4 -18 4 -18 4 -17 3 -18 3 -17 3 -18 0 0 2 -17 2 -17 2 -17 1 -16 1 -17 1 -17 0 -17 1 -17 0 -16 -1 -17 -1 -17 -1 -17 -2 -16 -1 -17 -2 -17 -3 -18 -2 -17 -3 -18 -3 -18 -3 -17 -3 -18 -3 -17 -3 -18 -4 -18 -4 -18 -4 -18 0 0 0 0 0 0 0 0 0 0 ]
5.3929784297943115,[30 -32 1 0 0 0 0 0 0 0 0 0 0 -20 1 -20 1 -20 2 -21 4 -20 4 -20 5 -20 6 -19 5 -19 5 -19 5 -20 5 -19 5 -19 5 -18 5 -18 4 -18 4 -18 4 -17 4 -18 4 -18 4 -18 3 -18 2 -18 1 -19 1 -18 2 -19 0 0 1 -19 0 -19 0 -18 -1 -18 -1 -19 -1 -19 -2 -19 -2 -19 -2 -18 -3 -19 -4 -19 -5 -18 -5 -19 -5 -19 -6 -20 -6 -20 -6 -20 -6 -21 -5 -22 -5 -22 -5 -22 -5 -21 -4 -22 -4 -23 -3 -22 -3 -22 0 0 0 0 0 0 0 0 0 0 ]
5.554722547531128,[73 -111 20 0 -23 -10 -19 -13 -7 -8 -10 -14 -20 -19 -10 -16 -11 -17 -9 -11 -16 -13 -4 -16 -18 -9 -17 -6 -16 -14 -11 -10 -15 -13 -16 -7 -13 -17 -12 -13 -6 -6 -17 -12 -8 -9 -8 -15 0 -9 -2 -12 2 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 3 -15 7 -15 -11 -17 1 -17 -3 -16 -10 -17 -9 -19 -9 -25 -6 -27 3 -16 -8 -16 -18 -22 -9 -17 -21 -12 -6 -13 -20 -26 -9 -15 -13 -22 -19 -21 -27 -11 -23 -30 -19 -16 -24 -27 -20 -18 -25 -23 -9 ]
5.832907438278198,[-62 33 28 0 -14 14 -14 13 -16 14 -15 18 -17 17 -16 17 -15 19 -17 21 -17 19 -15 19 -16 21 -15 19 -14 20 -15 21 -16 19 -14 19 -15 20 -15 19 -15 23 -17 22 -18 23 -18 24 -18 24 -24 23 -24 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -21 -9 -22 -9 -19 -8 -20 -8 -18 -5 -14 -5 -15 -7 -14 -5 -12 -5 -14 -5 -11 -6 -8 -5 -10 -7 -6 -7 -7 -6 -5 -6 0 -10 -1 -8 1 -11 3 -12 3 -9 5 -12 7 -12 6 -12 9 -11 10 ]
7.170545339584351,[-125 48 8 0 0 0 0 0 0 0 0 0 -15 -18 -16 -20 -14 -20 -14 -21 -13 -21 -13 -22 -12 -22 -12 -23 -10 -22 -10 -22 -10 -22 -9 -22 -9 -23 -9 -22 -8 -21 -9 -21 -8 -21 -7 -19 -8 -20 -8 -20 -8 -19 -8 -19 -7 -18 -9 -18 -9 -18 -10 -18 0 0 -10 -16 -10 -17 -11 -16 -10 -15 -11 -15 -12 -16 -12 -15 -12 -15 -12 -14 -13 -15 -14 -15 -13 -15 -13 -14 -14 -15 -14 -14 -15 -15 -14 -14 -15 -14 -15 -14 -15 -14 -16 -14 -15 -14 -16 -14 -16 -14 -16 -14 -16 -14 0 0 0 0 0 0 0 0 0 0 ]
7.287978649139404,[-121 112 8 0 0 0 0 0 0 0 0 0 -22 -10 -22 -11 -22 -12 -22 -13 -21 -13 -21 -14 -20 -14 -20 -15 -20 -16 -19 -16 -19 -16 -18 -15 -18 -16 -18 -16 -17 -16 -17 -16 -17 -15 -16 -15 -16 -15 -15 -15 -16 -15 -16 -15 -16 -14 -16 -13 -17 -13 -16 -13 0 0 -17 -12 -17 -11 -17 -10 -17 -11 -17 -10 -17 -11 -18 -10 -18 -10 -17 -10 -18 -9 -19 -7 -20 -8 -19 -8 -19 -7 -20 -7 -20 -7 -20 -7 -21 -7 -21 -7 -21 -7 -21 -7 -21 -7 -21 -7 -22 -6 -22 -6 -22 -6 0 0 0 0 0 0 0 0 0 0 ]
7.395835638046265,[-17 -16 14 0 0 0 0 0 0 0 0 0 5 -22 6 -22 7 -22 8 -21 9 -22 9 -21 9 -21 9 -20 10 -20 11 -20 11 -20 11 -19 11 -19 11 -18 11 -18 11 -17 11 -17 10 -17 10 -17 10 -17 9 -17 9 -17 8 -16 8 -17 8 -17 8 -17 0 0 7 -17 6 -17 6 -17 6 -17 5 -17 5 -18 4 -18 4 -18 4 -18 3 -18 3 -18 3 -18 3 -18 3 -19 2 -19 2 -19 2 -19 1 -19 1 -19 1 -19 0 -19 1 -19 1 -20 1 -20 0 -19 0 -20 0 0 0 0 0 0 0 0 0 0 ]
8.983346939086914,[37 80 2 0 0 0 0 0 0 0 0 0 -8 20 -9 21 -9 20 -10 21 -10 19 -12 20 -12 19 -13 18 -12 17 -12 17 -12 18 -11 17 -12 17 -11 16 -12 15 -11 16 -12 15 -11 14 -12 15 -11 14 -11 14 -11 13 -10 13 -9 14 -9 14 -9 14 0 0 -8 14 -8 13 -8 14 -7 13 -7 14 -7 13 -7 13 -7 13 -6 13 -6 13 -5 14 -5 13 -5 13 -5 13 -5 12 -5 13 -4 12 -4 13 -4 13 -4 12 -3 12 -4 12 -3 12 -2 12 -2 11 -1 11 0 0 0 0 0 0 0 0 0 0 ]
9.082342386245728,[82 -96 4 0 0 0 0 0 0 0 0 0 19 -12 19 -11 20 -10 20 -10 20 -9 20 -9 20 -8 20 -7 20 -7 20 -7 20 -7 19 -6 20 -6 19 -6 19 -6 18 -6 18 -5 17 -5 18 -6 17 -5 17 -5 17 -6 16 -6 16 -7 16 -6 15 -6 0 0 14 -7 14 -7 14 -7 13 -7 14 -7 13 -8 13 -8 12 -8 12 -9 12 -8 11 -9 11 -9 11 -9 11 -9 10 -9 10 -10 10 -9 10 -10 9 -9 9 -9 9 -9 9 -10 8 -10 8 -10 7 -10 7 -9 0 0 0 0 0 0 0 0 0 0 ]
