type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,B8:D6:1A:81:9D:75,-44,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,50816,0,131,0,0,0.42739,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -16 -31 -15 -33 -14 -32 -13 -33 -11 -32 -10 -33 -8 -32 -7 -32 -7 -31 -6 -30 -8 -30 -7 -29 -6 -29 -6 -28 -5 -27 -6 -26 -5 -26 -5 -24 -5 -25 -5 -24 -5 -23 -5 -22 -5 -21 -7 -21 -8 -20 -8 -20 0 0 -8 -18 -9 -17 -10 -18 -10 -16 -10 -16 -11 -16 -11 -15 -11 -15 -12 -13 -12 -14 -14 -13 -13 -13 -14 -12 -14 -12 -14 -12 -15 -11 -15 -10 -15 -11 -15 -11 -15 -10 -15 -10 -15 -9 -15 -8 -16 -7 -15 -7 -15 -7 0 0 0 0 0 0 0 0 0 0 ],1667661394.5795732
CSI_DATA,STA,B8:D6:1A:81:9D:75,-44,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,53826,0,135,0,0,0.466375,128,[-121 112 8 0 0 0 0 0 0 0 0 0 21 27 19 28 18 28 17 29 16 28 14 30 13 29 12 30 12 28 10 28 11 28 10 27 10 27 9 25 8 25 9 24 8 24 8 22 8 22 8 22 8 21 8 20 8 19 9 19 10 18 10 18 0 0 10 16 11 15 11 15 11 14 12 14 12 13 12 13 12 12 12 11 13 12 14 11 14 11 14 9 15 10 15 9 15 9 15 8 15 8 16 8 15 7 15 7 15 6 15 6 16 5 15 4 15 4 0 0 0 0 0 0 0 0 0 0 ],1667661394.6186657
CSI_DATA,STA,B8:D6:1A:81:9D:75,-50,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,184298,0,239,0,0,0.560527,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 23 -19 24 -18 24 -17 25 -17 25 -15 26 -15 26 -14 26 -12 26 -12 26 -11 25 -12 25 -10 25 -10 25 -10 24 -9 23 -9 23 -8 22 -8 22 -8 22 -8 21 -8 20 -8 20 -8 19 -9 19 -9 18 -9 0 0 17 -10 16 -10 16 -11 15 -11 15 -11 15 -11 14 -11 14 -12 13 -12 13 -12 12 -13 12 -13 12 -14 11 -14 11 -14 11 -15 10 -15 10 -15 10 -15 9 -15 10 -15 9 -14 9 -15 8 -15 7 -15 7 -15 0 0 0 0 0 0 0 0 0 0 ],1667661394.7093847
CSI_DATA,STA,B8:D6:1A:81:9D:75,-44,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2082706,0,37,0,0,2.45939,128,[37 80 2 0 0 0 0 0 0 0 0 0 19 -17 21 -16 21 -16 22 -16 22 -14 25 -14 25 -13 25 -12 25 -11 25 -11 26 -12 25 -11 25 -10 24 -10 25 -8 25 -9 25 -8 23 -7 24 -8 24 -7 24 -6 23 -7 22 -7 22 -8 21 -9 22 -8 0 0 20 -8 20 -9 20 -9 18 -9 19 -10 19 -10 18 -10 17 -10 16 -10 17 -11 17 -13 16 -12 15 -13 16 -13 16 -14 16 -14 14 -14 15 -15 15 -15 15 -15 15 -16 14 -15 14 -16 14 -17 13 -16 14 -16 0 0 0 0 0 0 0 0 0 0 ],1667661396.608321
CSI_DATA,STA,B8:D6:1A:81:9D:75,-55,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2083044,0,82,0,0,2.49408,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 9 -19 8 -20 8 -20 7 -21 7 -20 5 -21 6 -22 5 -21 4 -21 3 -22 4 -22 3 -22 2 -22 2 -22 2 -21 2 -21 2 -21 1 -21 1 -20 1 -20 1 -20 1 -19 2 -19 1 -19 2 -19 2 0 0 -18 2 -17 3 -17 3 -17 3 -17 4 -16 4 -17 4 -16 4 -14 6 -16 6 -17 6 -16 6 -15 7 -14 7 -14 8 -14 8 -15 8 -14 9 -14 8 -14 9 -14 9 -14 9 -15 10 -15 9 -14 10 -13 10 0 0 0 0 0 0 0 0 0 0 ],1667661396.64789
CSI_DATA,STA,B8:D6:1A:81:9D:75,-46,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2913184,0,37,0,0,3.28954,128,[37 80 2 0 0 0 0 0 0 0 0 0 -7 17 -8 17 -9 17 -9 18 -10 17 -11 17 -11 18 -12 18 -11 17 -12 17 -12 18 -13 18 -13 18 -13 17 -13 17 -13 18 -14 18 -14 17 -14 17 -14 17 -14 17 -14 17 -14 16 -13 18 -13 18 -13 18 0 0 -12 17 -12 18 -12 19 -11 18 -11 19 -11 19 -11 19 -11 19 -11 21 -11 20 -10 21 -10 21 -10 21 -10 22 -10 22 -11 23 -10 23 -11 23 -11 24 -11 22 -11 23 -11 23 -11 23 -12 24 -12 23 -12 22 0 0 0 0 0 0 0 0 0 0 ],1667661397.4379818
CSI_DATA,STA,B8:D6:1A:81:9D:75,-54,11,1,7,1,1,1,1,0,0,0,-91,6,6,1,3353194,0,110,0,0,3.72939,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -18 4 -19 5 -18 5 -18 6 -18 7 -18 8 -17 8 -17 9 -16 8 -16 9 -16 9 -15 9 -15 9 -15 9 -14 9 -14 9 -13 8 -13 9 -13 9 -12 8 -12 8 -12 7 -12 7 -12 6 -12 6 -12 0 0 5 -12 5 -12 4 -12 4 -12 3 -12 3 -12 2 -12 2 -13 2 -13 1 -13 0 -13 0 -13 0 -14 -1 -14 -1 -14 -1 -14 -1 -14 -2 -15 -2 -15 -3 -15 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -4 -16 0 0 0 0 0 0 0 0 0 0 ],1667661397.874922
CSI_DATA,STA,B8:D6:1A:81:9D:75,-55,11,1,6,1,1,1,1,0,0,0,-91,6,6,1,3376885,0,110,0,0,3.76288,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 13 -8 13 -8 13 -9 13 -9 13 -10 12 -11 12 -10 11 -11 11 -10 10 -11 10 -11 9 -11 9 -11 9 -10 9 -10 8 -10 8 -9 7 -9 7 -9 7 -9 7 -8 7 -8 7 -8 7 -7 8 -7 8 0 0 -6 8 -6 8 -6 8 -5 8 -5 8 -4 9 -4 9 -3 9 -4 9 -3 9 -3 10 -3 10 -3 10 -3 11 -2 11 -2 11 -1 11 -2 12 -2 12 -1 12 -1 12 -1 12 -1 12 -1 13 -1 13 -1 13 0 0 0 0 0 0 0 0 0 0 ],1667661397.9138377
CSI_DATA,STA,B8:D6:1A:81:9D:75,-56,11,1,7,1,1,1,1,0,0,0,-91,6,6,1,3377304,0,110,0,0,3.80133,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 13 -14 13 -15 12 -15 12 -16 11 -16 10 -16 9 -16 9 -16 8 -16 8 -16 7 -16 7 -16 7 -15 6 -15 6 -15 6 -14 6 -14 5 -13 5 -13 5 -13 5 -12 5 -12 5 -12 5 -11 6 -11 6 0 0 -10 6 -10 7 -9 7 -9 8 -9 8 -8 8 -9 8 -8 9 -8 9 -8 10 -7 10 -7 11 -7 11 -7 11 -7 12 -7 12 -6 12 -6 13 -7 13 -7 13 -7 13 -7 13 -6 14 -6 14 -6 14 -6 14 0 0 0 0 0 0 0 0 0 0 ],1667661397.9542701
CSI_DATA,STA,B8:D6:1A:81:9D:75,-56,11,1,7,1,1,1,1,0,0,0,-91,6,6,1,3377713,0,110,0,0,3.84135,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 -20 -8 -20 -8 -20 -7 -20 -6 -21 -5 -21 -4 -20 -4 -20 -3 -20 -3 -20 -2 -20 -2 -19 -2 -19 -2 -19 -2 -19 -2 -18 -1 -17 -1 -16 -1 -16 -2 -16 -2 -16 -2 -15 -2 -14 -3 -14 -3 -14 -3 -14 0 0 -5 -13 -5 -13 -5 -12 -6 -12 -7 -12 -7 -12 -8 -12 -8 -12 -9 -12 -9 -11 -10 -11 -10 -11 -11 -11 -11 -11 -12 -11 -12 -11 -12 -11 -13 -11 -13 -11 -13 -11 -14 -12 -14 -11 -14 -11 -14 -11 -14 -11 -14 -11 0 0 0 0 0 0 0 0 0 0 ],1667661398.0018709
