type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,B8:D6:1A:81:A7:79,-25,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,46601,0,34,0,0,0.421798,128,[34 32 2 0 0 0 0 0 0 0 0 0 17 15 16 16 16 17 16 18 15 18 14 19 14 19 12 19 12 19 11 20 12 20 11 19 11 20 10 18 10 19 11 19 10 19 9 18 9 18 9 18 9 17 9 16 8 17 9 16 9 16 10 16 0 0 10 14 10 14 11 14 11 13 11 13 11 13 11 13 11 12 11 11 12 13 13 12 12 11 12 10 13 11 13 10 14 10 14 10 14 10 14 10 14 9 14 9 14 9 15 9 15 9 14 8 14 8 0 0 0 0 0 0 0 0 0 0 ],1667303981.3033137
CSI_DATA,STA,B8:D6:1A:81:A7:79,-25,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,90883,0,131,0,0,0.465606,128,[-125 48 8 0 0 0 0 0 0 0 0 0 21 -9 22 -9 22 -8 23 -7 22 -6 23 -6 23 -5 23 -4 23 -4 22 -3 23 -3 22 -3 22 -3 21 -2 21 -2 21 -2 21 -1 20 -2 20 -2 20 -2 20 -1 19 -2 18 -2 19 -3 19 -3 19 -3 0 0 18 -4 17 -4 18 -5 16 -5 17 -5 17 -6 16 -6 17 -6 15 -6 16 -7 16 -8 15 -7 14 -8 16 -8 15 -8 15 -9 14 -10 15 -10 15 -10 14 -10 14 -10 14 -10 14 -11 14 -12 13 -11 13 -11 0 0 0 0 0 0 0 0 0 0 ],1667303981.347692
CSI_DATA,STA,B8:D6:1A:81:A7:79,-22,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,4098503,0,30,0,0,4.47332,128,[30 -32 1 0 0 0 0 0 0 0 0 0 21 11 22 13 19 13 21 15 18 14 19 16 18 16 17 17 16 16 15 16 16 16 15 15 15 16 15 15 15 15 15 14 15 15 14 13 16 14 15 13 15 13 15 13 15 11 17 12 17 11 17 12 0 0 16 11 16 9 17 10 16 8 17 9 16 8 17 8 16 8 16 7 16 7 17 5 17 5 17 5 18 5 17 4 18 4 17 3 19 4 18 4 18 4 18 4 17 4 17 4 18 4 17 4 17 5 0 0 0 0 0 0 0 0 0 0 ],1667303985.3528345
CSI_DATA,STA,6E:02:E0:F3:4E:FD,-63,11,0,0,0,0,0,0,0,0,0,-94,0,6,0,4233429,0,450,0,0,4.60902,128,[-62 33 28 0 -1 -4 -2 -5 -4 -5 -5 -7 -7 -6 -9 -8 -10 -8 -12 -9 -14 -8 -15 -8 -16 -8 -17 -8 -18 -8 -19 -8 -20 -8 -21 -9 -22 -9 -23 -9 -25 -10 -26 -11 -28 -12 -29 -13 -30 -14 -31 -15 -30 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 7 28 9 26 10 27 10 25 10 25 9 24 10 23 10 22 10 21 10 20 10 20 9 20 9 19 9 18 8 18 7 17 7 17 6 16 5 14 4 12 3 11 2 9 1 8 0 6 -1 5 -1 ],1667303985.4919014
CSI_DATA,STA,B8:D6:1A:81:A7:79,-21,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,6225550,0,131,0,0,6.60079,128,[-125 48 8 0 0 0 0 0 0 0 0 0 23 0 23 2 23 2 23 3 23 4 23 5 23 5 22 6 21 6 22 6 22 6 21 6 21 7 20 6 19 7 20 7 19 7 18 7 19 7 18 7 18 6 18 6 17 6 18 5 18 4 18 5 0 0 17 4 17 3 17 3 16 2 17 2 17 2 17 1 17 1 16 0 17 0 17 0 17 -1 16 -1 17 -1 17 -2 17 -2 17 -3 17 -3 17 -3 16 -4 17 -4 16 -4 16 -5 16 -6 15 -5 15 -5 0 0 0 0 0 0 0 0 0 0 ],1667303987.479461
CSI_DATA,STA,B8:D6:1A:81:A7:79,-31,11,1,7,1,1,1,0,0,0,0,-95,0,6,1,6226013,0,135,0,0,6.62938,384,[-121 112 8 0 0 0 0 0 0 0 0 0 21 4 21 5 21 6 21 7 22 7 20 8 20 9 20 9 20 9 19 10 19 10 19 10 18 11 18 10 17 11 18 10 17 10 16 10 16 10 16 11 15 10 15 9 15 10 15 9 15 9 15 8 0 0 15 8 15 7 15 7 15 6 15 6 15 6 15 5 16 5 15 5 15 4 16 4 16 4 16 3 15 3 16 2 16 2 16 2 16 1 16 1 16 1 16 1 16 0 16 0 16 -1 16 -1 16 -1 0 0 0 0 0 0 0 0 0 0 ],1667303987.5166278
CSI_DATA,STA,B8:D6:1A:81:A7:79,-31,11,1,7,1,1,1,0,0,0,0,-95,0,6,1,6346572,0,239,0,0,6.72153,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -1 -17 0 -18 0 -17 1 -17 1 -18 2 -17 3 -17 3 -17 4 -17 4 -16 4 -16 4 -16 4 -16 5 -16 5 -15 5 -15 5 -15 4 -14 4 -14 5 -14 4 -14 4 -14 4 -14 4 -14 4 -14 3 -14 0 0 3 -13 3 -13 2 -13 2 -13 2 -13 2 -13 1 -13 1 -13 0 -13 0 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -13 -1 -13 -2 -13 -2 -13 -2 -13 -2 -12 -2 -13 -3 -12 -3 -12 -3 -12 -3 -12 -4 -13 0 0 0 0 0 0 0 0 0 0 ],1667303987.6054547
CSI_DATA,STA,B8:D6:1A:81:A7:79,-20,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,6349212,0,239,0,0,6.75469,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 17 15 17 16 16 16 16 17 15 17 15 19 14 19 13 19 13 19 11 19 12 20 11 19 11 19 10 19 10 19 10 18 9 18 9 17 9 18 9 18 9 17 9 17 8 16 9 16 9 16 9 16 0 0 9 15 10 14 10 14 10 13 11 14 11 13 11 13 11 13 11 12 11 13 12 12 12 12 12 11 12 12 13 11 13 11 13 10 14 10 14 10 14 10 14 10 14 9 14 9 15 9 14 9 14 8 0 0 0 0 0 0 0 0 0 0 ],1667303987.6434507
CSI_DATA,STA,B8:D6:1A:81:A7:79,-22,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,8086130,0,37,0,0,8.46166,128,[37 80 2 0 0 0 0 0 0 0 0 0 -9 22 -10 22 -11 22 -11 22 -12 21 -13 21 -14 20 -15 19 -14 19 -15 18 -15 19 -15 18 -15 17 -14 17 -15 16 -15 17 -14 16 -14 15 -14 15 -14 15 -14 15 -13 14 -13 14 -13 15 -12 15 -12 15 0 0 -11 14 -11 15 -10 15 -10 15 -10 15 -10 15 -9 15 -10 15 -8 15 -9 16 -8 16 -8 16 -7 16 -7 16 -7 16 -6 17 -6 17 -6 17 -6 17 -5 16 -5 17 -5 16 -5 17 -4 18 -4 17 -3 17 0 0 0 0 0 0 0 0 0 0 ],1667303989.3471339
CSI_DATA,STA,B8:D6:1A:81:A7:79,-32,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,8086474,0,82,0,0,8.49604,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 19 -10 18 -11 18 -11 17 -12 17 -13 17 -13 17 -13 16 -14 16 -14 15 -14 15 -15 15 -14 14 -14 13 -14 13 -14 14 -14 13 -14 12 -13 12 -14 12 -14 12 -13 12 -13 12 -12 12 -12 12 -12 12 0 0 -11 12 -11 12 -10 12 -10 13 -10 12 -10 12 -9 12 -9 13 -9 13 -8 13 -8 13 -8 13 -7 13 -7 13 -7 14 -6 14 -6 14 -6 14 -6 14 -5 14 -5 14 -5 14 -5 15 -4 15 -4 15 -4 15 0 0 0 0 0 0 0 0 0 0 ],1667303989.389342
