type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,6E:02:E0:F3:4E:FD,-67,11,0,0,0,0,0,0,0,0,0,-94,0,6,0,10915,0,450,0,0,0.383562,128,[-62 33 28 0 -35 16 -30 25 -12 31 -14 13 -10 31 0 32 3 20 30 47 -1 43 28 36 28 48 32 52 35 57 45 53 42 61 41 57 39 52 35 70 53 60 23 82 33 67 52 75 33 78 41 81 23 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -70 10 -80 -26 -84 -29 -74 -30 -74 -39 -67 -21 -97 -20 -76 -23 -90 -28 -71 -30 -75 -32 -80 -48 -82 -43 -85 -33 -83 -23 -92 -40 -92 -27 -84 -24 -81 -24 -90 -26 -79 -14 -77 -8 -72 -17 -63 0 -57 -3 -62 -4 ],1667638265.691076
CSI_DATA,STA,B8:D6:1A:81:A7:79,-23,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,100575,0,131,0,0,0.472641,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -2 20 -3 20 -4 20 -4 20 -5 20 -6 20 -6 20 -7 20 -7 20 -7 20 -7 20 -7 20 -8 20 -8 20 -9 19 -9 20 -9 19 -9 19 -9 19 -9 19 -10 19 -9 19 -9 19 -9 20 -8 20 -9 20 0 0 -8 20 -8 20 -8 20 -8 20 -8 20 -8 20 -8 20 -7 20 -7 20 -7 21 -7 22 -6 21 -6 22 -6 22 -6 22 -6 23 -5 23 -5 23 -6 23 -6 23 -5 24 -5 23 -5 24 -4 25 -4 24 -4 24 0 0 0 0 0 0 0 0 0 0 ],1667638265.7517564
CSI_DATA,STA,B8:D6:1A:81:A7:79,-33,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,101175,0,135,0,0,0.504455,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -13 2 -13 1 -14 1 -14 1 -14 0 -14 0 -14 -1 -14 -1 -14 -1 -14 -2 -14 -1 -14 -2 -14 -2 -14 -2 -14 -2 -14 -2 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 0 0 -14 -2 -14 -2 -14 -3 -14 -2 -14 -2 -15 -3 -14 -2 -15 -2 -14 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 -1 -15 0 -15 0 -15 0 -15 0 -16 0 -15 0 -16 0 -16 0 -16 0 -16 1 -16 1 -16 1 0 0 0 0 0 0 0 0 0 0 ],1667638265.7939098
CSI_DATA,STA,B8:D6:1A:81:A7:79,-33,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,224389,0,239,0,0,0.59622,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 10 4 11 4 10 4 11 5 10 5 10 6 10 6 10 6 10 6 9 6 10 7 10 7 10 7 9 7 10 7 9 7 10 7 9 7 10 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 0 0 10 7 9 7 10 7 9 6 10 7 10 6 10 6 10 6 10 6 10 6 10 6 10 6 11 6 11 6 10 5 12 5 11 5 12 5 12 5 12 5 12 5 12 5 12 5 12 4 13 4 13 4 0 0 0 0 0 0 0 0 0 0 ],1667638265.8681962
CSI_DATA,STA,B8:D6:1A:81:A7:79,-32,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2123720,0,82,0,0,2.4961,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 -6 -10 -7 -10 -8 -9 -8 -9 -8 -9 -8 -9 -8 -9 -8 -9 -9 -9 -9 -8 -9 -8 -10 -8 -9 -8 -9 -8 -10 -8 -9 -8 -10 -8 -10 -8 -10 -8 -10 -8 -10 -8 -9 -8 -10 -8 -10 -8 -10 -8 -10 0 0 -8 -10 -8 -10 -9 -10 -9 -10 -9 -10 -9 -9 -9 -9 -10 -10 -9 -9 -10 -9 -10 -9 -10 -9 -10 -9 -11 -9 -10 -9 -11 -9 -11 -8 -11 -8 -11 -8 -11 -9 -11 -8 -12 -8 -12 -8 -12 -9 -12 -9 -12 -8 0 0 0 0 0 0 0 0 0 0 ],1667638267.7768488
CSI_DATA,STA,B8:D6:1A:81:A7:79,-23,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,2125393,0,37,0,0,2.53106,128,[37 80 2 0 0 0 0 0 0 0 0 0 -13 -19 -13 -20 -12 -20 -12 -21 -11 -21 -11 -22 -10 -22 -10 -22 -9 -23 -9 -23 -9 -24 -9 -23 -9 -24 -8 -24 -7 -24 -8 -24 -7 -24 -7 -23 -7 -24 -7 -24 -7 -24 -7 -24 -7 -24 -7 -24 -8 -24 -8 -24 0 0 -8 -24 -8 -24 -8 -24 -8 -23 -9 -23 -9 -24 -9 -24 -9 -24 -9 -23 -10 -25 -10 -24 -11 -24 -11 -24 -11 -24 -11 -25 -12 -25 -12 -24 -12 -25 -13 -25 -13 -25 -14 -25 -13 -25 -14 -25 -15 -25 -14 -25 -15 -25 0 0 0 0 0 0 0 0 0 0 ],1667638267.8230367
CSI_DATA,STA,B8:D6:1A:81:A7:79,-24,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,3405966,0,37,0,0,3.77807,128,[37 80 2 0 0 0 0 0 0 0 0 0 -12 -16 -11 -17 -11 -18 -10 -18 -10 -18 -10 -19 -9 -19 -8 -20 -8 -19 -7 -20 -8 -20 -7 -20 -7 -20 -7 -20 -6 -20 -6 -20 -6 -20 -5 -20 -6 -21 -5 -21 -5 -20 -5 -20 -5 -20 -6 -21 -6 -20 -6 -21 0 0 -5 -20 -6 -20 -6 -20 -6 -19 -6 -20 -6 -20 -6 -20 -6 -20 -7 -19 -7 -20 -8 -20 -8 -20 -8 -19 -8 -20 -8 -20 -9 -21 -9 -20 -9 -21 -9 -21 -9 -20 -9 -21 -9 -20 -10 -20 -11 -21 -10 -20 -11 -20 0 0 0 0 0 0 0 0 0 0 ],1667638269.061019
CSI_DATA,STA,B8:D6:1A:81:A7:79,-35,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,3406319,0,110,0,0,3.81503,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -2 15 -1 15 0 16 1 15 1 15 1 15 2 15 2 15 2 15 3 16 2 15 2 15 3 15 3 16 3 15 3 15 4 15 4 15 4 15 4 15 4 15 4 15 3 15 3 15 4 15 3 0 0 15 3 15 3 15 3 15 3 15 3 15 2 15 3 15 2 15 2 15 1 15 1 16 1 16 1 16 1 15 0 16 0 16 0 16 -1 16 0 16 0 16 -1 16 0 16 -1 17 -2 16 -2 17 -2 0 0 0 0 0 0 0 0 0 0 ],1667638269.0969622
CSI_DATA,STA,B8:D6:1A:81:A7:79,-34,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4635007,0,110,0,0,5.00698,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 10 7 10 7 10 7 11 6 11 6 11 6 12 5 12 6 12 5 12 5 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 3 11 3 12 4 11 3 11 3 11 0 0 4 11 4 11 4 11 4 11 4 10 4 11 5 10 5 10 5 10 5 10 5 10 5 10 6 10 6 10 6 9 6 9 7 10 7 9 7 9 7 9 7 9 7 9 8 9 8 9 8 9 8 9 0 0 0 0 0 0 0 0 0 0 ],1667638270.2791111
CSI_DATA,STA,B8:D6:1A:81:A7:79,-24,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,4638453,0,37,0,0,5.03339,128,[37 80 2 0 0 0 0 0 0 0 0 0 -23 12 -23 11 -25 11 -24 10 -25 9 -26 8 -26 7 -27 7 -26 6 -27 6 -27 6 -27 5 -27 5 -26 5 -26 4 -27 4 -26 3 -26 3 -26 3 -26 3 -26 2 -25 2 -26 3 -25 3 -25 3 -25 3 0 0 -24 4 -25 4 -24 4 -24 5 -24 4 -24 5 -24 5 -24 5 -23 5 -25 6 -24 7 -24 6 -23 7 -23 8 -24 8 -24 8 -24 9 -23 9 -24 10 -23 9 -24 10 -23 10 -24 11 -23 12 -23 11 -22 12 0 0 0 0 0 0 0 0 0 0 ],1667638270.320488
