type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,B8:D6:1A:81:9D:75,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,41492,0,34,0,0,0.414616,128,[34 32 2 0 0 0 0 0 0 0 0 0 -6 31 -8 30 -9 30 -10 30 -11 28 -12 28 -13 27 -13 26 -14 24 -14 24 -13 24 -13 22 -13 22 -13 21 -13 19 -12 20 -12 19 -11 17 -11 18 -10 17 -10 16 -9 16 -8 15 -8 16 -7 16 -6 16 0 0 -4 14 -4 14 -3 14 -1 13 -1 13 0 13 1 13 2 12 3 12 4 13 5 13 6 12 7 12 8 13 9 13 11 13 12 13 13 13 14 14 14 14 16 15 15 15 17 15 18 16 18 16 18 16 0 0 0 0 0 0 0 0 0 0 ],1667411406.036152
CSI_DATA,STA,B8:D6:1A:81:9D:75,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,94993,0,131,0,0,0.467672,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -39 3 -38 1 -38 0 -37 -1 -35 -3 -35 -4 -33 -5 -31 -7 -30 -7 -29 -7 -28 -6 -27 -6 -25 -6 -24 -6 -22 -6 -22 -4 -21 -4 -19 -3 -19 -3 -18 -3 -17 -2 -16 -1 -15 -1 -15 1 -14 2 -14 2 0 0 -12 3 -11 5 -10 5 -9 7 -9 7 -8 8 -7 9 -7 10 -5 11 -5 13 -4 14 -3 15 -3 16 -2 18 -2 18 -2 20 -1 21 -2 22 -2 24 -2 24 -2 26 -2 26 -2 27 -1 29 -1 28 -2 30 0 0 0 0 0 0 0 0 0 0 ],1667411406.0835774
CSI_DATA,STA,B8:D6:1A:81:9D:75,-49,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,4102454,0,30,0,0,4.4752,128,[30 -32 1 0 0 0 0 0 0 0 0 0 22 -13 23 -12 24 -11 24 -10 24 -8 25 -7 25 -5 25 -4 24 -4 23 -3 24 -5 23 -4 23 -4 22 -4 21 -4 21 -5 21 -4 20 -4 21 -5 21 -4 20 -4 20 -5 20 -5 20 -7 19 -7 20 -6 0 0 18 -6 18 -7 18 -7 16 -7 16 -7 16 -7 15 -7 15 -7 13 -8 13 -8 12 -10 11 -10 11 -10 11 -11 10 -12 10 -13 10 -13 10 -14 11 -14 10 -14 11 -14 10 -14 11 -15 11 -16 10 -15 11 -15 0 0 0 0 0 0 0 0 0 0 ],1667411410.0902212
CSI_DATA,STA,B8:D6:1A:81:A7:79,-26,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,4185196,0,131,0,0,4.55836,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -4 -25 -3 -26 -2 -26 -1 -26 0 -26 1 -27 2 -26 3 -25 3 -25 4 -25 4 -25 4 -24 4 -24 5 -23 5 -22 5 -22 5 -22 5 -21 5 -22 6 -21 6 -20 5 -20 5 -19 4 -21 4 -20 4 -20 0 0 3 -19 2 -19 2 -19 2 -19 1 -19 1 -19 1 -19 1 -19 0 -18 0 -19 -2 -19 -2 -19 -2 -19 -2 -19 -3 -19 -3 -20 -3 -20 -4 -20 -3 -20 -4 -20 -4 -20 -5 -19 -5 -20 -6 -20 -5 -19 -6 -19 0 0 0 0 0 0 0 0 0 0 ],1667411410.1745465
CSI_DATA,STA,B8:D6:1A:81:A7:79,-37,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,4185903,0,135,0,0,4.59186,384,[-121 112 8 0 0 0 0 0 0 0 0 0 17 -6 18 -6 18 -4 18 -4 18 -3 18 -3 18 -3 18 -2 17 -2 17 -1 17 -1 17 0 17 0 17 0 16 0 16 0 15 0 15 0 16 0 15 0 15 0 14 0 14 0 14 0 14 0 14 -1 0 0 13 -2 13 -1 13 -2 12 -2 13 -2 13 -3 12 -3 12 -4 12 -4 12 -4 12 -5 12 -5 12 -5 12 -6 11 -6 12 -6 12 -6 12 -7 11 -7 11 -7 11 -8 11 -8 11 -8 11 -9 11 -9 11 -9 0 0 0 0 0 0 0 0 0 0 ],1667411410.2131474
CSI_DATA,STA,B8:D6:1A:81:A7:79,-37,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,4306544,0,239,0,0,4.67935,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -3 15 -4 15 -5 15 -5 15 -5 15 -6 14 -6 14 -7 14 -7 13 -7 13 -7 13 -7 13 -7 12 -7 12 -8 12 -7 12 -7 11 -7 11 -7 11 -7 11 -7 11 -7 10 -6 10 -6 10 -6 10 -6 10 0 0 -5 10 -5 10 -4 11 -4 10 -4 10 -4 10 -3 10 -3 10 -2 10 -2 10 -2 10 -2 11 -1 11 -1 11 -1 10 0 11 0 11 0 11 0 11 0 10 1 11 1 11 1 11 2 11 2 11 2 11 0 0 0 0 0 0 0 0 0 0 ],1667411410.292118
CSI_DATA,STA,B8:D6:1A:81:A7:79,-33,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,6087220,0,37,0,0,6.46033,128,[37 80 2 0 0 0 0 0 0 0 0 0 -4 -21 -2 -22 -2 -22 -2 -22 -1 -22 1 -23 1 -22 2 -22 2 -21 3 -21 3 -21 4 -21 4 -21 4 -20 4 -19 4 -19 5 -19 4 -18 4 -18 4 -18 4 -17 4 -17 4 -16 4 -16 3 -16 3 -16 0 0 2 -15 1 -15 1 -14 0 -14 0 -14 0 -14 -1 -14 -1 -14 -2 -13 -2 -14 -3 -13 -3 -13 -4 -12 -4 -13 -5 -13 -6 -13 -6 -12 -6 -13 -7 -13 -7 -13 -8 -12 -8 -12 -8 -12 -9 -12 -9 -12 -10 -11 0 0 0 0 0 0 0 0 0 0 ],1667411412.0782206
CSI_DATA,STA,B8:D6:1A:81:A7:79,-43,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,6087496,0,82,0,0,6.49458,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 -12 -9 -13 -8 -13 -7 -14 -7 -13 -7 -14 -6 -14 -5 -14 -5 -15 -5 -14 -4 -14 -4 -14 -4 -14 -4 -14 -3 -14 -3 -14 -3 -14 -3 -13 -3 -13 -2 -13 -2 -12 -2 -12 -2 -12 -2 -12 -2 -11 -3 -11 0 0 -3 -11 -3 -10 -3 -10 -3 -9 -4 -9 -4 -9 -4 -9 -4 -9 -5 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -7 -6 -7 -7 -7 -6 -7 -7 -7 -8 -7 -8 -7 -8 -7 -9 -6 -8 -6 -9 -6 -9 -5 -10 -5 0 0 0 0 0 0 0 0 0 0 ],1667411412.1197348
CSI_DATA,STA,B8:D6:1A:81:A7:79,-65,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,7688389,0,37,0,0,8.06159,128,[37 80 2 0 0 0 0 0 0 0 0 0 4 43 4 44 -8 57 -1 70 7 40 18 52 -11 52 16 57 8 61 9 57 -2 86 -3 105 -9 95 7 79 22 57 9 83 4 80 30 54 28 71 15 62 1 69 7 79 8 56 34 77 8 91 -5 77 0 0 34 101 35 103 30 102 58 95 46 70 40 94 34 96 29 73 51 85 30 60 40 108 22 62 45 66 49 65 44 84 64 89 61 96 47 82 51 95 41 66 39 81 44 79 51 51 61 69 54 55 33 59 0 0 0 0 0 0 0 0 0 0 ],1667411413.6752925
CSI_DATA,STA,B8:D6:1A:81:A7:79,-42,11,1,7,1,1,1,1,0,0,0,-94,6,6,1,7688701,0,110,0,0,8.0926,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -6 -14 -7 -14 -8 -14 -8 -13 -8 -13 -9 -12 -9 -13 -9 -12 -9 -12 -9 -12 -9 -12 -9 -11 -9 -11 -9 -11 -9 -10 -9 -10 -9 -9 -8 -10 -9 -9 -8 -9 -9 -9 -8 -9 -7 -9 -7 -9 -7 -9 -7 0 0 -9 -7 -9 -6 -9 -6 -9 -5 -9 -6 -9 -5 -9 -5 -9 -4 -9 -4 -9 -3 -10 -3 -10 -3 -10 -2 -10 -2 -10 -3 -11 -2 -10 -1 -10 -2 -10 -2 -10 -2 -11 -1 -11 -1 -10 0 -11 0 -11 0 -11 0 0 0 0 0 0 0 0 0 0 0 ],1667411413.7172184
