time,CSI
5.476296663284302,"[0;32mI (8726) esp_netif_handlers: sta ip: 192.168.4.2, mask: 255.255.255.0, gw: 192.168."
5.521622180938721,"[0m
initial wifi connection established.
sending frames.
CSI_DATA,STA,B8:D6:1A:81:A7:79,-55,11,1,7,1,1,1,0,0,0,0,-90,0,6,1,8091046,0,82,0,0,8.469"
5.711122989654541,[37 80 2 0 0 0 0 0 0 0 0 0 -21 -15 -21 -18 -21 -17 -21 -19 -20 -19 -20 -21 -19 -21 -18 -21 -19 -21 -17 -21 -17 -23 -17 -22 -17 -22 -16 -22 -16 -22 -15 -22 -14 -22 -14 -21 -14 -21 -13 -21 -13 -20 -8 -22 -12 -19 -13 -18 -13 -18 -13 -18 0 0 -12 -16 -12 -15 -12 -15 -12 -14 -13 -14 -13 -13 -12 -12 -13 -11 -12 -10 -13 -10 -13 -10 -14 -9 -13 -8 -14 -8 -14 -7 -13 -6 -14 -6 -14 -5 -14 -5 -13 -4 -14 -3 -15 -2 -14 -1 -15 -1 -15 1 -15 1 0 0 0 0 0 0 0 0 0 0 ]
5.84021258354187,[37 80 2 0 0 0 0 0 0 0 0 0 -14 19 -14 18 -15 19 -16 18 -16 18 -17 17 -18 17 -18 17 -18 17 -19 16 -20 17 -19 15 -20 16 -19 14 -19 14 -20 15 -19 13 -19 13 -19 13 -18 13 -18 13 -18 12 -18 12 -18 12 -16 12 -17 12 0 0 -15 11 -15 12 -14 12 -13 12 -13 12 -12 13 -12 12 -11 13 -10 11 -11 12 -10 12 -9 12 -8 12 -8 13 -7 13 -7 12 -6 13 -6 12 -4 13 -4 13 -3 13 -3 12 -2 13 -1 13 -1 13 0 13 0 0 0 0 0 0 0 0 0 0 ]
5.950624465942383,[37 80 2 0 0 0 0 0 0 0 0 0 -6 22 -7 23 -7 22 -9 23 -9 21 -10 22 -10 21 -11 20 -11 20 -12 19 -13 20 -13 19 -13 19 -13 18 -13 18 -13 17 -13 16 -13 16 -13 17 -13 16 -13 15 -11 16 -11 14 -11 15 -11 15 -11 15 0 0 -10 15 -9 15 -9 15 -8 14 -8 15 -8 15 -7 15 -7 16 -6 15 -6 16 -6 17 -5 16 -5 16 -4 18 -4 17 -4 18 -3 17 -3 19 -3 19 -3 18 -2 20 -2 19 -2 20 -1 21 -2 20 -1 21 0 0 0 0 0 0 0 0 0 0 ]
6.068621397018433,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -12 -11 -13 -11 -13 -10 -13 -10 -14 -9 -15 -9 -14 -9 -15 -8 -15 -8 -14 -8 -15 -8 -15 -7 -15 -8 -15 -6 -16 -6 -15 -6 -15 -6 -14 -6 -14 -5 -15 -5 -14 -4 -15 -5 -14 -4 -13 -5 -13 -5 -13 0 0 -5 -12 -5 -12 -5 -12 -6 -12 -6 -12 -5 -11 -6 -11 -7 -10 -7 -10 -8 -10 -8 -10 -8 -9 -8 -9 -8 -9 -9 -9 -10 -9 -10 -8 -10 -9 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -12 -8 -13 -8 -12 -8 0 0 0 0 0 0 0 0 0 0 ]
6.178618669509888,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -7 -14 -7 -14 -8 -14 -8 -14 -9 -14 -9 -14 -10 -13 -10 -13 -10 -13 -10 -13 -11 -12 -11 -11 -11 -11 -11 -11 -11 -11 -11 -10 -11 -10 -12 -11 -12 -9 -11 -9 -10 -6 -9 -8 -10 -9 -11 -10 -10 -9 -9 0 0 -9 -9 -9 -8 -9 -8 -10 -8 -10 -7 -10 -8 -10 -6 -10 -7 -9 -5 -10 -5 -11 -5 -11 -5 -11 -5 -11 -4 -12 -4 -13 -4 -13 -4 -13 -3 -14 -3 -14 -3 -15 -3 -15 -3 -15 -3 -16 -2 -16 -3 -17 -3 0 0 0 0 0 0 0 0 0 0 ]
6.269497871398926,[110 96 6 0 0 0 0 0 0 0 0 0 14 -1 13 -1 14 0 14 0 14 1 13 1 14 2 13 2 14 3 14 2 13 2 13 3 13 3 13 4 13 4 12 5 11 4 11 4 11 4 11 4 11 5 6 1 10 4 10 4 10 3 10 4 0 0 9 4 10 3 9 2 10 2 9 1 10 2 10 1 9 1 9 0 10 1 10 0 9 0 10 -1 10 -2 10 -2 10 -3 11 -2 11 -3 11 -3 11 -3 12 -4 12 -4 12 -4 12 -4 13 -4 13 -4 0 0 0 0 0 0 0 0 0 0 ]
6.36548638343811,[110 96 6 0 0 0 0 0 0 0 0 0 -1 15 -2 15 -3 14 -3 15 -4 14 -4 15 -5 14 -5 14 -5 15 -6 14 -6 14 -6 14 -7 13 -7 13 -7 13 -7 13 -7 12 -7 11 -7 11 -7 11 -8 11 -5 13 -6 10 -7 10 -6 10 -6 10 0 0 -5 10 -5 10 -4 10 -4 10 -4 10 -4 10 -3 10 -3 10 -2 10 -2 10 -2 11 -1 11 -1 11 -1 11 0 11 1 12 1 12 1 12 1 12 2 13 2 13 2 13 2 14 3 14 3 15 3 15 0 0 0 0 0 0 0 0 0 0 ]
6.47021484375,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -14 -5 -14 -4 -14 -3 -13 -3 -14 -4 -14 -3 -13 -3 -13 -2 -14 -1 -13 -2 -15 0 -14 0 -13 0 -13 0 -14 1 -13 1 -14 0 -12 0 -12 1 -12 1 -12 -3 -11 1 -12 1 -11 1 -11 1 -11 0 0 0 -11 -1 -11 -1 -10 -1 -10 -2 -10 -1 -10 -2 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -5 -10 -5 -10 -6 -11 -6 -11 -6 -10 -7 -10 -7 -10 -7 -10 -7 -11 -7 -12 -9 -10 -8 -13 -9 -11 0 0 0 0 0 0 0 0 0 0 ]
